GeneName	RefSeq_Summary
LOC7487677	probable prefoldin subunit 4	probable prefoldin subunit 4
LOC7487678	uncharacterized LOC7487678	uncharacterized LOC7487678
LOC7487679	probable WRKY transcription factor 74	probable WRKY transcription factor 74
LOC7487681	protein WVD2-like 2	protein WVD2-like 2
LOC7487682	uncharacterized At2g34160	uncharacterized At2g34160
LOC7487684	flowering locus K homology domain	flowering locus K homology domain
LOC7487685	HRAS-like suppressor 3	HRAS-like suppressor 3
LOC7487686	phosphoribosylaminoimidazole carboxylase, chloroplastic	phosphoribosylaminoimidazole carboxylase, chloroplastic
LOC7487687	uncharacterized LOC7487687	uncharacterized LOC7487687
LOC7487688	GRF1-interacting factor 1	GRF1-interacting factor 1
LOC7487689	myosin-9	myosin-9
LOC7487690	AT-hook motif nuclear-localized protein 14	AT-hook motif nuclear-localized protein 14
LOC7487691	protein EIN4	protein EIN4
LOC7487692	methyltransferase-like protein 6	methyltransferase-like protein 6
LOC7487693	AT-hook motif nuclear-localized protein 19	AT-hook motif nuclear-localized protein 19
LOC7487695	1-aminocyclopropane-1-carboxylate oxidase homolog 3	1-aminocyclopropane-1-carboxylate oxidase homolog 3
LOC7487696	ethylene-responsive transcription factor 1B	ethylene-responsive transcription factor 1B
LOC7487697	zinc finger X-linked protein ZXDB	zinc finger X-linked protein ZXDB
LOC7487700	activating signal cointegrator 1	activating signal cointegrator 1
LOC7487701	phosphoenolpyruvate carboxylase kinase 2	phosphoenolpyruvate carboxylase kinase 2
LOC7487702	cell division cycle 5-like protein	cell division cycle 5-like protein
LOC7487703	probable low-specificity L-threonine aldolase 1	probable low-specificity L-threonine aldolase 1
LOC7487704	protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1	protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1
LOC7487706	germin-like protein subfamily 1 member 17	germin-like protein subfamily 1 member 17
LOC7487707	serine/threonine protein phosphatase 2A regulatory subunit B''beta	serine/threonine protein phosphatase 2A regulatory subunit B''beta
LOC7487708	diphthine--ammonia ligase	diphthine--ammonia ligase
LOC7487709	ankyrin repeat domain-containing protein 13C-B	ankyrin repeat domain-containing protein 13C-B
LOC7487712	uncharacterized LOC7487712	uncharacterized LOC7487712
LOC7487714	protein CHROMATIN REMODELING 20	protein CHROMATIN REMODELING 20
LOC7487715	probable inactive ATP-dependent zinc metalloprotease FTSHI 5, chloroplastic	probable inactive ATP-dependent zinc metalloprotease FTSHI 5, chloroplastic
LOC7487717	leucine-rich repeat receptor-like protein kinase PXL1	leucine-rich repeat receptor-like protein kinase PXL1
LOC7487719	inositol phosphorylceramide glucuronosyltransferase 1	inositol phosphorylceramide glucuronosyltransferase 1
LOC7487722	uncharacterized LOC7487722	uncharacterized LOC7487722
LOC7487723	GDSL esterase/lipase At5g33370	GDSL esterase/lipase At5g33370
LOC7487726	protein PIR	protein PIR
LOC7487727	probable leucine-rich repeat receptor-like protein kinase At5g63930	probable leucine-rich repeat receptor-like protein kinase At5g63930
LOC7487728	probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC	probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC
LOC7487729	V-type proton ATPase subunit E	V-type proton ATPase subunit E
LOC7487730	germin-like protein subfamily 1 member 7	germin-like protein subfamily 1 member 7
LOC7487733	uncharacterized LOC7487733	uncharacterized LOC7487733
LOC7487734	GRF1-interacting factor 3	GRF1-interacting factor 3
LOC7487736	probable L-gulonolactone oxidase 6	probable L-gulonolactone oxidase 6
LOC7487737	probable L-gulonolactone oxidase 6	probable L-gulonolactone oxidase 6
LOC7487738	protein IQ-DOMAIN 1	protein IQ-DOMAIN 1
LOC7487739	UMP-CMP kinase 3	UMP-CMP kinase 3
LOC7487740	NAC domain-containing protein 43	NAC domain-containing protein 43
LOC7487742	uncharacterized LOC7487742	uncharacterized LOC7487742
LOC7487744	conserved oligomeric Golgi complex subunit 4	conserved oligomeric Golgi complex subunit 4
LOC7487745	two-component response regulator-like APRR5	two-component response regulator-like APRR5
LOC7487746	caffeic acid 3-O-methyltransferase	caffeic acid 3-O-methyltransferase
LOC7487748	probably inactive receptor-like protein kinase At2g46850	probably inactive receptor-like protein kinase At2g46850
LOC7487751	protein NTM1-like 9	protein NTM1-like 9
LOC7487752	NAC domain-containing protein 91	NAC domain-containing protein 91
LOC7487753	uncharacterized calcium-binding protein At1g02270	uncharacterized calcium-binding protein At1g02270
LOC7487755	ribosome production factor 1	ribosome production factor 1
LOC7487756	WAT1-related protein At3g30340	WAT1-related protein At3g30340
LOC7487758	probable inactive purple acid phosphatase 29	probable inactive purple acid phosphatase 29
LOC7487761	translocase of chloroplast 33, chloroplastic	translocase of chloroplast 33, chloroplastic
LOC7487762	transcription factor 25	transcription factor 25
LOC7487763	probable plastid-lipid-associated protein 10, chloroplastic	probable plastid-lipid-associated protein 10, chloroplastic
LOC7487764	uncharacterized LOC7487764	uncharacterized LOC7487764
LOC7487765	GEM-like protein 1	GEM-like protein 1
LOC7487766	uncharacterized LOC7487766	uncharacterized LOC7487766
LOC7487768	uncharacterized LOC7487768	uncharacterized LOC7487768
LOC7487769	peptidyl-prolyl cis-trans isomerase	peptidyl-prolyl cis-trans isomerase
LOC7487770	protein ABC transporter 1, mitochondrial	protein ABC transporter 1, mitochondrial
LOC7487772	39S ribosomal protein L47, mitochondrial	39S ribosomal protein L47, mitochondrial
LOC7487775	protein LOW PSII ACCUMULATION 1, chloroplastic	protein LOW PSII ACCUMULATION 1, chloroplastic
LOC7487776	translocator protein homolog	translocator protein homolog
LOC7487777	probable U6 snRNA-associated Sm-like protein LSm4	probable U6 snRNA-associated Sm-like protein LSm4
LOC7487778	ABC transporter C family member 14	ABC transporter C family member 14
LOC7487779	universal stress protein A-like protein	universal stress protein A-like protein
LOC7487782	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-B	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-B
LOC7487783	uncharacterized LOC7487783	uncharacterized LOC7487783
LOC7487784	caffeoylshikimate esterase	caffeoylshikimate esterase
LOC7487786	60S ribosomal protein L22-2	60S ribosomal protein L22-2
LOC7487787	putative S-adenosyl-L-methionine-dependent methyltransferase MAP_3881	putative S-adenosyl-L-methionine-dependent methyltransferase MAP_3881
LOC7487790	protein SENESCENCE-ASSOCIATED GENE 21, mitochondrial	protein SENESCENCE-ASSOCIATED GENE 21, mitochondrial
LOC7487791	exocyst complex component SEC15B	exocyst complex component SEC15B
LOC7487794	60S ribosomal protein L18-2	60S ribosomal protein L18-2
LOC7487796	probable pectinesterase/pectinesterase inhibitor 7	probable pectinesterase/pectinesterase inhibitor 7
LOC7487797	pectinesterase	pectinesterase
LOC7487798	exopolygalacturonase clone GBGE184	exopolygalacturonase clone GBGE184
LOC7487799	proline-rich protein 3	proline-rich protein 3
LOC7487800	proline-rich protein 3	proline-rich protein 3
LOC7487801	extensin	extensin
LOC7487802	ethylene-responsive transcription factor ERF071	ethylene-responsive transcription factor ERF071
LOC7487803	ATP-dependent RNA helicase DEAH13	ATP-dependent RNA helicase DEAH13
LOC7487804	fumarate hydratase 1, mitochondrial	fumarate hydratase 1, mitochondrial
LOC7487805	programmed cell death protein 2	programmed cell death protein 2
LOC7487807	importin subunit alpha-4	importin subunit alpha-4
LOC7487810	probable protein phosphatase 2C 25	probable protein phosphatase 2C 25
LOC7487811	clathrin heavy chain 1	clathrin heavy chain 1
LOC7487812	probable N-acetyltransferase HLS1	probable N-acetyltransferase HLS1
LOC7487813	BAG family molecular chaperone regulator 4	BAG family molecular chaperone regulator 4
LOC7487814	probable phytol kinase 3, chloroplastic	probable phytol kinase 3, chloroplastic
LOC7487815	probable transcription factor KAN2	probable transcription factor KAN2
LOC7487817	DELLA protein GAI1	DELLA protein GAI1
LOC7487818	uncharacterized At5g39865	uncharacterized At5g39865
LOC7487819	probable serine/threonine-protein kinase DDB_G0282963	probable serine/threonine-protein kinase DDB_G0282963
LOC7487823	uncharacterized LOC7487823	uncharacterized LOC7487823
LOC7487827	methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial
LOC7487829	methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial
LOC7487835	probable starch synthase 4, chloroplastic/amyloplastic	probable starch synthase 4, chloroplastic/amyloplastic
LOC7487836	major pollen allergen Ole e 10	major pollen allergen Ole e 10
LOC7487837	zinc finger CCCH domain-containing protein 41	zinc finger CCCH domain-containing protein 41
LOC7487840	protein NRT1/ PTR FAMILY 2.9	protein NRT1/ PTR FAMILY 2.9
LOC7487842	peroxidase 31	peroxidase 31
LOC7487844	GPI ethanolamine phosphate transferase 1	GPI ethanolamine phosphate transferase 1
LOC7487846	uncharacterized LOC7487846	uncharacterized LOC7487846
LOC7487848	uncharacterized LOC7487848	uncharacterized LOC7487848
LOC7487849	uncharacterized LOC7487849	uncharacterized LOC7487849
LOC7487850	inactive LRR receptor-like serine/threonine-protein kinase BIR2	inactive LRR receptor-like serine/threonine-protein kinase BIR2
LOC7487851	uncharacterized LOC7487851	uncharacterized LOC7487851
LOC7487852	cinnamoyl-CoA reductase-like SNL6	cinnamoyl-CoA reductase-like SNL6
LOC7487853	uncharacterized LOC7487853	uncharacterized LOC7487853
LOC7487854	serine/threonine-protein kinase BLUS1	serine/threonine-protein kinase BLUS1
LOC7487856	probable phospholipid-transporting ATPase 8	probable phospholipid-transporting ATPase 8
LOC7487857	uncharacterized LOC7487857	uncharacterized LOC7487857
LOC7487858	L-aspartate oxidase, chloroplastic	L-aspartate oxidase, chloroplastic
LOC7487859	uncharacterized LOC7487859	uncharacterized LOC7487859
LOC7487860	high affinity nitrate transporter 2.7	high affinity nitrate transporter 2.7
LOC7487861	DExH-box ATP-dependent RNA helicase DExH17	DExH-box ATP-dependent RNA helicase DExH17
LOC7487862	polyribonucleotide nucleotidyltransferase 2, mitochondrial	polyribonucleotide nucleotidyltransferase 2, mitochondrial
LOC7487863	isocitrate dehydrogenase [NADP]	isocitrate dehydrogenase [NADP]
LOC7487864	phosphoenolpyruvate/phosphate translocator 2, chloroplastic	phosphoenolpyruvate/phosphate translocator 2, chloroplastic
LOC7487865	DEAD-box ATP-dependent RNA helicase 46	DEAD-box ATP-dependent RNA helicase 46
LOC7487866	DNA (cytosine-5)-methyltransferase DRM2	DNA (cytosine-5)-methyltransferase DRM2
LOC7487867	sister chromatid cohesion protein DCC1	sister chromatid cohesion protein DCC1
LOC7487869	protein ANTHESIS POMOTING FACTOR 1	protein ANTHESIS POMOTING FACTOR 1
LOC7487871	LOB domain-containing protein 25	LOB domain-containing protein 25
LOC7487872	mitogen-activated protein kinase kinase 3	mitogen-activated protein kinase kinase 3
LOC7487873	microtubule-associated protein futsch	microtubule-associated protein futsch
LOC7487876	glycosylphosphatidylinositol anchor attachment 1 protein	glycosylphosphatidylinositol anchor attachment 1 protein
LOC7487879	putative glucose-6-phosphate 1-epimerase	putative glucose-6-phosphate 1-epimerase
LOC7487883	SAGA-associated factor 29 homolog A	SAGA-associated factor 29 homolog A
LOC7487955	KIN17-like protein	KIN17-like protein
LOC7487956	dolichyl-phosphate beta-glucosyltransferase	dolichyl-phosphate beta-glucosyltransferase
LOC7487957	uncharacterized LOC7487957	uncharacterized LOC7487957
LOC7487958	glucan endo-1,3-beta-glucosidase	glucan endo-1,3-beta-glucosidase
LOC7487959	glucan endo-1,3-beta-glucosidase	glucan endo-1,3-beta-glucosidase
LOC7487960	uncharacterized LOC7487960	uncharacterized LOC7487960
LOC7487962	triosephosphate isomerase, cytosolic	triosephosphate isomerase, cytosolic
LOC7487965	protein FIZZY-RELATED 3	protein FIZZY-RELATED 3
LOC7487968	probable E3 ubiquitin-protein ligase RHC2A	probable E3 ubiquitin-protein ligase RHC2A
LOC7487969	glycerol-3-phosphate acyltransferase 5	glycerol-3-phosphate acyltransferase 5
LOC7487970	pumilio homolog 1	pumilio homolog 1
LOC7487971	ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic	ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic
LOC7487972	probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial	probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial
LOC7487974	AT-hook motif nuclear-localized protein 15	AT-hook motif nuclear-localized protein 15
LOC7487975	thylakoid lumenal 15 kDa protein 1, chloroplastic	thylakoid lumenal 15 kDa protein 1, chloroplastic
LOC7487976	uncharacterized LOC7487976	uncharacterized LOC7487976
LOC7487977	probable methyltransferase PMT11	probable methyltransferase PMT11
LOC7487979	mannose-1-phosphate guanylyltransferase 1	mannose-1-phosphate guanylyltransferase 1
LOC7487980	protein YIPF1 homolog	protein YIPF1 homolog
LOC7487981	PRA1 family protein A3	PRA1 family protein A3
LOC7487982	folylpolyglutamate synthase	folylpolyglutamate synthase
LOC7487983	serine/threonine-protein phosphatase PP1 isozyme 4	serine/threonine-protein phosphatase PP1 isozyme 4
LOC7487984	mitochondrial substrate carrier family protein B	mitochondrial substrate carrier family protein B
LOC7487985	BEL1-like homeodomain protein 9	BEL1-like homeodomain protein 9
LOC7487987	protein NRT1/ PTR FAMILY 5.6	protein NRT1/ PTR FAMILY 5.6
LOC7487989	ras-related protein Rab2BV	ras-related protein Rab2BV
LOC7487990	dirigent protein 4	dirigent protein 4
LOC7487992	rop guanine nucleotide exchange factor 5	rop guanine nucleotide exchange factor 5
LOC7487994	protein GUCD1	protein GUCD1
LOC7487995	uncharacterized LOC7487995	uncharacterized LOC7487995
LOC7487996	uncharacterized LOC7487996	uncharacterized LOC7487996
LOC7487998	transcription factor MYB1	transcription factor MYB1
LOC7487999	proline transporter 2	proline transporter 2
LOC7488000	syntaxin-81	syntaxin-81
LOC7488001	LIM domain-containing protein WLIM2b	LIM domain-containing protein WLIM2b
LOC7488003	uncharacterized LOC7488003	uncharacterized LOC7488003
LOC7488004	probable signal peptidase complex subunit 2	probable signal peptidase complex subunit 2
LOC7488006	protein SRC2 homolog	protein SRC2 homolog
LOC7488007	WUSCHEL-related homeobox 7	WUSCHEL-related homeobox 7
LOC7488009	probable aquaporin PIP1-2	probable aquaporin PIP1-2
LOC7488010	glycosyltransferase family 64 protein C4	glycosyltransferase family 64 protein C4
LOC7488011	60S acidic ribosomal protein P0	60S acidic ribosomal protein P0
LOC7488012	auxin transporter-like protein 1	auxin transporter-like protein 1
LOC7488013	clathrin light chain 2	clathrin light chain 2
LOC7488014	arginyl-tRNA--protein transferase 1	arginyl-tRNA--protein transferase 1
LOC7488015	chlorophyll a-b binding protein CP29.3, chloroplastic	chlorophyll a-b binding protein CP29.3, chloroplastic
LOC7488016	high mobility group B protein 1	high mobility group B protein 1
LOC7488019	uncharacterized LOC7488019	uncharacterized LOC7488019
LOC7488022	CTD nuclear envelope phosphatase 1 homolog	CTD nuclear envelope phosphatase 1 homolog
LOC7488023	serine/threonine-protein kinase ppk15	serine/threonine-protein kinase ppk15
LOC7488026	uncharacterized LOC7488026	uncharacterized LOC7488026
LOC7488027	gibberellin 2-beta-dioxygenase 1	gibberellin 2-beta-dioxygenase 1
LOC7488030	uncharacterized LOC7488030	uncharacterized LOC7488030
LOC7488031	homeobox-leucine zipper protein HOX11	homeobox-leucine zipper protein HOX11
LOC7488032	protein FAR1-RELATED SEQUENCE 9	protein FAR1-RELATED SEQUENCE 9
LOC7488033	protein trichome birefringence	protein trichome birefringence
LOC7488034	thioredoxin-like 3-1, chloroplastic	thioredoxin-like 3-1, chloroplastic
LOC7488035	probable protein kinase At2g41970	probable protein kinase At2g41970
LOC7488037	gamma-tubulin complex component 3	gamma-tubulin complex component 3
LOC7488039	activator of 90 kDa heat shock protein ATPase homolog	activator of 90 kDa heat shock protein ATPase homolog
LOC7488040	uncharacterized LOC7488040	uncharacterized LOC7488040
LOC7488041	calcium load-activated calcium channel	calcium load-activated calcium channel
LOC7488042	kinesin-like protein KIN-7K, chloroplastic	kinesin-like protein KIN-7K, chloroplastic
LOC7488045	DEAD-box ATP-dependent RNA helicase 37	DEAD-box ATP-dependent RNA helicase 37
LOC7488046	lipid phosphate phosphatase delta	lipid phosphate phosphatase delta
LOC7488047	rRNA biogenesis protein RRP5	rRNA biogenesis protein RRP5
LOC7488048	strigolactone esterase D14	strigolactone esterase D14
LOC7488049	IQ domain-containing protein IQM6	IQ domain-containing protein IQM6
LOC7488050	40S ribosomal protein S28-2	40S ribosomal protein S28-2
LOC7488051	40S ribosomal protein S5	40S ribosomal protein S5
LOC7488053	uncharacterized LOC7488053	uncharacterized LOC7488053
LOC7488054	eukaryotic translation initiation factor 3 subunit C	eukaryotic translation initiation factor 3 subunit C
LOC7488055	glycerol-3-phosphate 2-O-acyltransferase 6	glycerol-3-phosphate 2-O-acyltransferase 6
LOC7488056	universal stress protein A-like protein	universal stress protein A-like protein
LOC7488057	uncharacterized LOC7488057	uncharacterized LOC7488057
LOC7488058	D-lactate dehydrogenase [cytochrome], mitochondrial	D-lactate dehydrogenase [cytochrome], mitochondrial
LOC7488062	probable carboxylesterase 15	probable carboxylesterase 15
LOC7488064	myosin-binding protein 7	myosin-binding protein 7
LOC7488067	pentatricopeptide repeat-containing protein At5g06540	pentatricopeptide repeat-containing protein At5g06540
LOC7488068	protein downstream neighbor of Son	protein downstream neighbor of Son
LOC7488069	ABC transporter G family member 22	ABC transporter G family member 22
LOC7488070	prolycopene isomerase, chloroplastic	prolycopene isomerase, chloroplastic
LOC7488071	uncharacterized LOC7488071	uncharacterized LOC7488071
LOC7488072	uncharacterized LOC7488072	uncharacterized LOC7488072
LOC7488073	E3 ubiquitin-protein ligase RHF2A	E3 ubiquitin-protein ligase RHF2A
LOC7488074	fasciclin-like arabinogalactan protein 15	fasciclin-like arabinogalactan protein 15
LOC7488075	protein WVD2-like 4	protein WVD2-like 4
LOC7488076	uncharacterized LOC7488076	uncharacterized LOC7488076
LOC7488077	dihydroneopterin aldolase 2	dihydroneopterin aldolase 2
LOC7488078	uncharacterized At5g39865	uncharacterized At5g39865
LOC7488081	33 kDa ribonucleoprotein, chloroplastic	33 kDa ribonucleoprotein, chloroplastic
LOC7488082	putative deoxyribonuclease TATDN1	putative deoxyribonuclease TATDN1
LOC7488083	60S ribosomal protein L27a-3	60S ribosomal protein L27a-3
LOC7488085	uncharacterized LOC7488085	uncharacterized LOC7488085
LOC7488087	uncharacterized LOC7488087	uncharacterized LOC7488087
LOC7488088	dof zinc finger protein DOF3.5	dof zinc finger protein DOF3.5
LOC7488089	E3 ubiquitin-protein ligase PUB22	E3 ubiquitin-protein ligase PUB22
LOC7488090	BEL1-like homeodomain protein 1	BEL1-like homeodomain protein 1
LOC7488091	aluminum-activated malate transporter 8	aluminum-activated malate transporter 8
LOC7488092	aluminum-activated malate transporter 8	aluminum-activated malate transporter 8
LOC7488093	digalactosyldiacylglycerol synthase 1, chloroplastic	digalactosyldiacylglycerol synthase 1, chloroplastic
LOC7488094	ribosome biogenesis protein NSA2 homolog	ribosome biogenesis protein NSA2 homolog
LOC7488095	mediator of RNA polymerase II transcription subunit 27	mediator of RNA polymerase II transcription subunit 27
LOC7488096	nudix hydrolase 27, chloroplastic	nudix hydrolase 27, chloroplastic
LOC7488097	uncharacterized LOC7488097	uncharacterized LOC7488097
LOC7488098	NDR1/HIN1-like protein 10	NDR1/HIN1-like protein 10
LOC7488100	NDR1/HIN1-like protein 1	NDR1/HIN1-like protein 1
LOC7488101	NDR1/HIN1-like protein 10	NDR1/HIN1-like protein 10
LOC7488102	uncharacterized LOC7488102	uncharacterized LOC7488102
LOC7488103	transcription factor bHLH68	transcription factor bHLH68
LOC7488105	protein Iojap, chloroplastic	protein Iojap, chloroplastic
LOC7488106	dof zinc finger protein DOF3.6	dof zinc finger protein DOF3.6
LOC7488107	scarecrow-like protein 14	scarecrow-like protein 14
LOC7488108	scarecrow-like protein 33	scarecrow-like protein 33
LOC7488109	scarecrow-like protein 14	scarecrow-like protein 14
LOC7488111	60S acidic ribosomal protein P3	60S acidic ribosomal protein P3
LOC7488112	probable xyloglucan galactosyltransferase GT14	probable xyloglucan galactosyltransferase GT14
LOC7488113	telomere repeat-binding protein 5	telomere repeat-binding protein 5
LOC7488114	flowering-promoting factor 1	flowering-promoting factor 1
LOC7488115	serine/threonine-protein kinase PCRK1	serine/threonine-protein kinase PCRK1
LOC7488116	triosephosphate isomerase, cytosolic	triosephosphate isomerase, cytosolic
LOC7488117	methyl-CpG-binding domain-containing protein 5	methyl-CpG-binding domain-containing protein 5
LOC7488118	pentatricopeptide repeat-containing protein At1g07590, mitochondrial	pentatricopeptide repeat-containing protein At1g07590, mitochondrial
LOC7488119	metallothionein-like protein type 2	metallothionein-like protein type 2
LOC7488120	protein TRM32	protein TRM32
LOC7488121	probable protein phosphatase 2C 23	probable protein phosphatase 2C 23
LOC7488123	cyclin-dependent protein kinase inhibitor SMR3	cyclin-dependent protein kinase inhibitor SMR3
LOC7488126	U-box domain-containing protein 13	U-box domain-containing protein 13
LOC7488127	uncharacterized LOC7488127	uncharacterized LOC7488127
LOC7488128	WUSCHEL-related homeobox 2	WUSCHEL-related homeobox 2
LOC7488130	uncharacterized LOC7488130	uncharacterized LOC7488130
LOC7488132	actin-depolymerizing factor 2	actin-depolymerizing factor 2
LOC7488133	actin-depolymerizing factor 2	actin-depolymerizing factor 2
LOC7488135	ras-related protein RABE1c	ras-related protein RABE1c
LOC7488136	zinc finger protein ZAT12	zinc finger protein ZAT12
LOC7488137	methyl-CpG-binding domain-containing protein 7	methyl-CpG-binding domain-containing protein 7
LOC7488138	pentatricopeptide repeat-containing protein At3g09040, mitochondrial	pentatricopeptide repeat-containing protein At3g09040, mitochondrial
LOC7488139	transcription factor MYB48	transcription factor MYB48
LOC7488140	uncharacterized LOC7488140	uncharacterized LOC7488140
LOC7488141	exocyst complex component EXO70H1	exocyst complex component EXO70H1
LOC7488142	uncharacterized LOC7488142	uncharacterized LOC7488142
LOC7488143	uncharacterized LOC7488143	uncharacterized LOC7488143
LOC7488145	uncharacterized LOC7488145	uncharacterized LOC7488145
LOC7488146	protein SRG1	protein SRG1
LOC7488147	uncharacterized LOC7488147	uncharacterized LOC7488147
LOC7488148	calcium-transporting ATPase 4, endoplasmic reticulum-type	calcium-transporting ATPase 4, endoplasmic reticulum-type
LOC7488149	yrdC domain-containing protein, mitochondrial	yrdC domain-containing protein, mitochondrial
LOC7488152	non-specific lipid-transfer protein 8	non-specific lipid-transfer protein 8
LOC7488155	protein UPSTREAM OF FLC	protein UPSTREAM OF FLC
LOC7488157	uncharacterized LOC7488157	uncharacterized LOC7488157
LOC7488158	uncharacterized LOC7488158	uncharacterized LOC7488158
LOC7488159	F-box/kelch-repeat protein SKIP25	F-box/kelch-repeat protein SKIP25
LOC7488160	citrate synthase, mitochondrial	citrate synthase, mitochondrial
LOC7488162	homeobox-leucine zipper protein HOX11	homeobox-leucine zipper protein HOX11
LOC7488165	uncharacterized LOC7488165	uncharacterized LOC7488165
LOC7488166	protein SRG1	protein SRG1
LOC7488168	O-fucosyltransferase 20	O-fucosyltransferase 20
LOC7488170	cysteine proteinase inhibitor	cysteine proteinase inhibitor
LOC7488171	protein DGS1, mitochondrial	protein DGS1, mitochondrial
LOC7488172	uncharacterized LOC7488172	uncharacterized LOC7488172
LOC7488173	probable peptide/nitrate transporter At3g43790	probable peptide/nitrate transporter At3g43790
LOC7488174	heat shock 22 kDa protein, mitochondrial	heat shock 22 kDa protein, mitochondrial
LOC7488175	probable protein phosphatase 2C 55	probable protein phosphatase 2C 55
LOC7488176	vacuolar protein sorting-associated protein 26A	vacuolar protein sorting-associated protein 26A
LOC7488178	CBL-interacting protein kinase 32	CBL-interacting protein kinase 32
LOC7488179	COP9 signalosome complex subunit 2	COP9 signalosome complex subunit 2
LOC7488180	proteasome subunit alpha type-3	proteasome subunit alpha type-3
LOC7488181	receptor protein-tyrosine kinase CEPR1	receptor protein-tyrosine kinase CEPR1
LOC7488337	aspartyl protease family protein 2	aspartyl protease family protein 2
LOC7488338	SUPPRESSOR OF GAMMA RESPONSE 1	SUPPRESSOR OF GAMMA RESPONSE 1
LOC7488339	probable galacturonosyltransferase-like 3	probable galacturonosyltransferase-like 3
LOC7488340	receptor like protein 4	receptor like protein 4
LOC7488342	ATP-dependent Clp protease adapter protein CLPS1, chloroplastic	ATP-dependent Clp protease adapter protein CLPS1, chloroplastic
LOC7488343	lysine histidine transporter-like 6	lysine histidine transporter-like 6
LOC7488344	aluminum-activated malate transporter 4	aluminum-activated malate transporter 4
LOC7488345	30S ribosomal protein 3-1, chloroplastic	30S ribosomal protein 3-1, chloroplastic
LOC7488346	homologous-pairing protein 2 homolog	homologous-pairing protein 2 homolog
LOC7488349	uncharacterized LOC7488349	uncharacterized LOC7488349
LOC7488350	uncharacterized LOC7488350	uncharacterized LOC7488350
LOC7488351	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic
LOC7488352	ubiquitin receptor RAD23d	ubiquitin receptor RAD23d
LOC7488353	uncharacterized LOC7488353	uncharacterized LOC7488353
LOC7488355	alpha-xylosidase 1	alpha-xylosidase 1
LOC7488356	3-ketoacyl-CoA synthase 6	3-ketoacyl-CoA synthase 6
LOC7488358	uncharacterized LOC7488358	uncharacterized LOC7488358
LOC7488359	uncharacterized LOC7488359	uncharacterized LOC7488359
LOC7488360	50S ribosomal protein L15, chloroplastic	50S ribosomal protein L15, chloroplastic
LOC7488362	pentatricopeptide repeat-containing protein At3g29230	pentatricopeptide repeat-containing protein At3g29230
LOC7488363	universal stress protein YxiE	universal stress protein YxiE
LOC7488364	universal stress protein A-like protein	universal stress protein A-like protein
LOC7488366	transcription factor MYB62	transcription factor MYB62
LOC7488367	uncharacterized LOC7488367	uncharacterized LOC7488367
LOC7488368	uncharacterized LOC7488368	uncharacterized LOC7488368
LOC7488369	chaperone protein dnaJ 15	chaperone protein dnaJ 15
LOC7488372	nicotinamide adenine dinucleotide transporter 1, chloroplastic	nicotinamide adenine dinucleotide transporter 1, chloroplastic
LOC7488376	putative lipid phosphate phosphatase 3, chloroplastic	putative lipid phosphate phosphatase 3, chloroplastic
LOC7488377	rust resistance kinase Lr10	rust resistance kinase Lr10
LOC7488379	uncharacterized PKHD-type hydroxylase At1g22950	uncharacterized PKHD-type hydroxylase At1g22950
LOC7488380	fructose-bisphosphate aldolase 3, chloroplastic	fructose-bisphosphate aldolase 3, chloroplastic
LOC7488381	origin of replication complex subunit 4	origin of replication complex subunit 4
LOC7488382	uncharacterized LOC7488382	uncharacterized LOC7488382
LOC7488383	protein DETOXIFICATION 12	protein DETOXIFICATION 12
LOC7488384	ATP synthase subunit beta, mitochondrial	ATP synthase subunit beta, mitochondrial
LOC7488385	vacuolar-sorting protein BRO1	vacuolar-sorting protein BRO1
LOC7488387	putative fasciclin-like arabinogalactan protein 20	putative fasciclin-like arabinogalactan protein 20
LOC7488388	protein PIN-LIKES 2	protein PIN-LIKES 2
LOC7488389	uncharacterized LOC7488389	uncharacterized LOC7488389
LOC7488390	ELL-associated factor 2	ELL-associated factor 2
LOC7488392	heavy metal-associated isoprenylated plant protein 37	heavy metal-associated isoprenylated plant protein 37
LOC7488393	nicotinate-nucleotide pyrophosphorylase [carboxylating], chloroplastic	nicotinate-nucleotide pyrophosphorylase [carboxylating], chloroplastic
LOC7488396	auxin efflux carrier component 3	auxin efflux carrier component 3
LOC7488397	uridine-cytidine kinase C	uridine-cytidine kinase C
LOC7488399	serine carboxypeptidase-like 50	serine carboxypeptidase-like 50
